#,"Date Time, GMT-04:00",Temp,Intensity,Coupler Attached (LGR S/N: 10977419),Host Connected (LGR S/N: 10977419),Coupler Detached (LGR S/N: 10977419),End Of File (LGR S/N: 10977419)
111,7/9/2017 10:00,25.61,76,,,,
112,7/9/2017 11:00,25.805,91,,,,
113,7/9/2017 12:00,26.195,152,,,,
114,7/9/2017 13:00,26.78111111,576,,,,
115,7/9/2017 14:00,27.075,1856,,,,
116,7/9/2017 15:00,27.075,352,,,,
117,7/9/2017 16:00,27.17277778,672,,,,
118,7/9/2017 17:00,27.56722222,2176,,,,
119,7/9/2017 18:00,27.075,304,,,,
120,7/9/2017 19:00,26.78111111,82,,,,
121,7/9/2017 20:00,26.585,49,,,,
122,7/9/2017 21:00,26.39,7,,,,
123,7/9/2017 22:00,26.195,0,,,,
124,7/9/2017 23:00,26.09722222,0,,,,
125,7/10/2017 0:00,26,0,,,,
126,7/10/2017 1:00,25.90222222,0,,,,
127,7/10/2017 2:00,25.70777778,0,,,,
